year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2003,BRACKNELL FOREST,39.28325292901447,6.36,3218,109475,8706,2018,2018,0,0,-15
2003,BRIGHTON AND HOVE,13.992797518682737,6.7,12547,249846,48039,NA,0,0,0,NA
2003,BRISTOL,47.34355328445531,6.22,16863,391454,67515,NA,0,0,0,NA
2003,DARLINGTON,13.173295762436329,6.36,4506,98911,18454,2005,2005,0,0,-2
2003,DERBY,35.68998109640832,6.2,10046,232827,42320,2021,2021,0,0,-18
2003,EAST RIDING OF YORKSHIRE,3.996744732796817,6.02,15715,321869,77413,NA,0,0,0,NA
2003,HALTON,15.719403563129358,5.6,3756,119178,20656,NA,0,0,0,NA
2003,HARTLEPOOL,1.9140128693798928,5.64,3366,90134,24399,2006,2006,0,0,-3
2003,HEREFORDSHIRE,26.521662245800176,6.37,9450,175648,28275,2010,2010,0,0,-7
2003,ISLE OF WIGHT,5.44611819235226,6.39,9138,134783,41424,NA,0,0,0,NA
2003,KINGSTON UPON HULL,8.808173071205147,5.87,9455,250604,84081,NA,0,0,0,NA
2003,LEICESTER,25.99369303808435,5.98,10672,288648,57714,2018,2018,0,0,-15
2003,LUTON,48.08654496281271,5.67,5317,185016,22185,2013,2013,0,0,-10
2003,MEDWAY,19.687875150060023,6.01,8211,251159,29988,2014,2014,0,0,-11
2003,MIDDLESBROUGH,22.43083381034154,5.91,4900,139050,26205,NA,0,0,0,NA
2003,MILTON KEYNES,8.56288367700299,5.76,5739,217597,19059,2013,2013,0,0,-10
2003,NORTH EAST LINCOLNSHIRE,6.474160366836039,6.39,6979,158373,40345,2013,2013,0,0,-10
2003,NORTH LINCOLNSHIRE,11.327211043518952,6.06,6639,156196,34192,2015,2015,0,0,-12
2003,NOTTINGHAM,22.788526816021722,6.72,10268,275547,58920,NA,0,0,0,NA
2003,PETERBOROUGH,45.058040286787296,5.99,5798,160778,23432,2014,2014,0,0,-11
2003,PLYMOUTH,12.850418706640706,6.14,10950,243390,52901,2016,2016,0,0,-13
2003,PORTSMOUTH,41.77594925859261,6.18,8700,190283,35001,NA,0,0,0,NA
2003,READING,54.41105961323318,6.68,5057,144070,12514,NA,0,0,0,NA
2003,REDCAR AND CLEVELAND,39.60652342738804,6.31,5936,138565,23178,NA,0,0,0,NA
2003,RUTLAND,23.070915338956578,6.43,1621,35559,6402,2007,2007,0,0,-4
2003,SLOUGH,60.55509980858628,6.51,3491,120869,7314,NA,0,0,0,NA
2003,SOUTH GLOUCESTERSHIRE,45.985665968755036,6.27,9068,249176,24836,NA,0,0,0,NA
2003,SOUTHAMPTON,21.746180429892352,6.84,9292,221989,40262.57142857143,NA,0,0,0,NA
2003,SOUTHEND ON SEA,9.775877322323797,6.18,9913,161437,33910,2018,2018,0,0,-15
2003,STOCKTON ON TEES,9.718193120596768,6.04,6245,185699,33782,NA,0,0,0,NA
2003,STOKE ON TRENT,52.93315401663099,6.16,10125,240031,52793,NA,0,0,0,NA
2003,TELFORD AND WREKIN,0,5.88,5067,159848,21386,NA,0,0,0,NA
2003,TORBAY,9.566823371390194,6.43,9534,131238,29780,NA,0,0,0,NA
2003,WARRINGTON,14.322928362901417,5.94,7005,191987,22265,2016,2016,0,0,-13
2003,WEST BERKSHIRE,46.1139896373057,6.48,5205,144297,10036,NA,0,0,0,NA
2003,WINDSOR AND MAIDENHEAD,28.2422293676313,6.21,5631,134201,9330,NA,0,0,0,NA
2003,WOKINGHAM,30.21716649431231,6.51,4650,148794,9670,NA,0,0,0,NA
2003,YORK,51.17164368496743,6.49,8643,183960,23642,2022,2022,0,0,-19
2003,CAMDEN,30.023162616272657,6.23,5732,204254,27199,2017,2017,0,0,-14
2003,GREENWICH,31.127755355479664,6.69,8090,224303,25768,NA,0,0,0,NA
2003,HAMMERSMITH AND FULHAM,17.043430606932457,7.7,4588,171510,14598,NA,0,0,0,NA
2003,ISLINGTON,13.248046707306601,6.25,4226,180899,23294,NA,0,0,0,NA
2003,KENSINGTON AND CHELSEA,34.45480340494528,8.95,5486,165268,14802,2016,2016,0,0,-13
2003,LAMBETH,0.21309728710761414,6.75,5998,272195,24402,2004,2004,0,0,-1
2003,LEWISHAM,0,6.07,7493,251936,23616,2003,2003,1,1,0
