"","Organisation","Organisation_fame_search","Company.name","Registered.number"
"522","Juvenis Care Services Ltd","ACCALIA CARE SERVICES LTD","ACCALIA CARE SERVICES LTD","08620766"
"523","Bay Tree House (gravesend) Limited","Bay Tree House (gravesend) Limited","BAY TREE HOUSE (GRAVESEND) LIMITED","09823073"
"524","Rite Directions","Rite Directions","RITE DIRECTIONS LTD","06592777"
"525","Friends & Co Limited","Friends & Co Limited","FRIENDS & CO LIMITED","09247096"
"526","Oasis Adolescent Services Limited","Oasis Adolescent Services Limited","OASIS ADOLESCENT SERVICES LIMITED","10606038"
"527","Solid Global Limited","Solid Global Limited","SOLID GLOBAL LIMITED","08683297"
"528","Ashwood Children's Care Home Ltd","Ashwood childrens Care Home Ltd","ASHWOOD CHILDRENS CARE HOME LTD","10311967"
"529","Brythan House Limited","Brythan House Limited","BRYTHAN HOUSE LIMITED","10610235"
"530","Flourish (gloucestershire) Limited","Flourish (gloucestershire) Limited","FLOURISH (GLOUCESTERSHIRE) LIMITED","10287758"
"531","Unseen Uk","Unseen Uk","UNSEEN (UK)","06754171"
"532","Care Perspectives Ltd","Care Perspectives Ltd","CARE PERSPECTIVES LIMITED","10760599"
"533","Dynamic Childcare Limited","Dynamic Childcare Limited","HORIZON INDEPENDENT CARE LTD","09972851"
"534","Impact For Change Ltd","Impact For Change Ltd","IMPACT FOR CHANGE LTD","10170735"
"535","Autism Sussex Ltd","Autism Sussex Ltd","AUTISM SUSSEX LIMITED","03149907"
"536","4pureheart Limited","4pureheart Limited","4PUREHEART LIMITED","10057047"
"537","Seaside Care Homes Ltd","Seaside Care Homes Ltd","SEASIDE CARE HOMES LIMITED","06552561"
"538","Q Plus","Q Plus","Q PLUS PLUS LIMITED","03689024"
"539","Restoration Care & Services Limited","Restoration Care & Services Limited","RESTORATION CARE & SERVICES LIMITED","08880894"
"540","Elysium Healthcare Ltd","Elysium Healthcare Ltd","ELYSIUM HEALTHCARE LIMITED","04063391"
"541","Soteria House Limited","Soteria House Limited","SOTERIA HOUSE LIMITED","10821073"
"542","Headstart Residential Care Ltd","Headstart Residential Care Ltd","HEADSTART RESIDENTIAL CARE LTD","10025803"
"543","K&g Care Ltd","K&g Care Ltd","K & G CARE LTD","10813761"
"544","GS Social Care Solutions Ltd","GS Social Care Solutions Ltd","GS SOCIAL CARE SOLUTIONS LTD","05807913"
"545","Birmingham Children's Trust Limited","Birmingham childrens Trust Limited","BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY","10762047"
"546","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED","04280519"
"547","Tlc Youth Care Ltd","Tlc Youth Care Ltd","TLC YOUTH CARE LIMITED","09597980"
"548","Keswick Care Ltd","Keswick Care Ltd","KESWICK CARE LIMITED","05805541"
"549","A+t Home","A & T HOME LIMITED","A & T HOME LIMITED","09314316"
"550","Hennessy Living Group Limited","Hennessy Living Group Limited","HENNESSY LIVING GROUP LIMITED","08774156"
"551","Hygge Care Ltd","Hygge Care Ltd","HYGGE CARE LTD","09584774"
"552","Bryn Melyn Care Limited","Bryn Melyn Care Limited","BRYN MELYN CARE LIMITED","06442752"
"553","Beacon Childcare","Beacon Childcare","BEACON CHILDCARE LTD","09137138"
"554","Cove Care - Residential Limited","Cove Care - Residential Limited","COVE CARE RESIDENTIAL LIMITED","06474020"
"555","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","05033530"
"556","South West Childcare Services","South West Childcare Services","SOUTH WEST CHILDCARE SERVICES LTD","09045817"
"557","Broadwood Educational Services Limited","Broadwood Educational Services Limited","KEYS EDUCATIONAL SERVICES LIMITED","03768095"
"558","Stepping Stones Childrens Homes Ltd","Stepping Stones Childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED","09977747"
"559","Dmr Services Ltd","Dmr Services Ltd","DMR SERVICES LIMITED","05055189"
"560","My3 Limited","My3 Limited","MY3 LIMITED","09958602"
"561","West Cumbria Care and Support","West Cumbria Care and Support","WEST CUMBRIA CARE AND SUPPORT","IP28282R"
"562","Acorn Children's Home (Branston) Ltd","Acorn childrens Home (Branston) Ltd","ACORN CHILDREN'S HOME (BRANSTON) LTD","10072436"
"563","T-Junction Children's Services Ltd","T-Junction childrens Services Ltd","T-JUNCTION CHILDRENS SERVICES LTD","10438075"
"564","Inspire Social Care Services Limited","Inspire Social Care Services Limited","RESTORATIVE SOCIAL CARE SERVICES LTD.","10413929"
"565","Homes 2 Inspire Limited","Homes 2 Inspire Limited","HOMES 2 INSPIRE LIMITED","10592680"
"566","Silverlining Childcare Limited","Silverlining Childcare Limited","STRENGTHENING SUPPORT SERVICES LTD","07798156"
"567","Proactive Care (Manchester) Ltd","Proactive Care (Manchester) Ltd","PROACTIVE CARE (MANCHESTER) LTD","08759855"
"568","Gravitas Care Ltd","Gravitas Care Ltd","GRAVITAS CARE LIMITED","10235539"
"569"," swan Cottage Limited","swan Cottage Limited","SWAN COTTAGE LIMITED","08522511"
"570","Apex Children's Services","Apex childrens Services","APEX CHILDRENS SERVICES LTD","10344525"
"571","Pathway Care Solutions Ltd","Pathway Care Solutions Ltd","PATHWAY CARE SOLUTIONS LIMITED","04004053"
"572","Albrighton Care","Albrighton Care","ALBRIGHTON CARE HOMES LTD","07081004"
"573","Skyline Child Care Ltd","Skyline Child Care Ltd","SKYLINE CHILD CARE LIMITED","10511893"
"574","Positive Individual Proactive Support Limited","Positive Individual Proactive Support Limited","POSITIVE INDIVIDUAL PROACTIVE SUPPORT LIMITED","09198035"
"575","Horizon Transitional Care Ltd","Horizon Transitional Care Ltd","HORIZON TRANSITIONAL CARE LTD","09903786"
"576","Woodford Children's Home Ltd","Woodford childrens Home Ltd","WOODFORD CHILDREN'S HOME LIMITED","10924120"
"577","Garway Young People Ltd","Garway Young People Ltd","GARWAY YOUNG PEOPLE LIMITED","10833972"
"578","Nurture Me Psychological Services Limited","Nurture Me Psychological Services Limited","NURTURE ME PSYCHOLOGICAL SERVICES LTD","10052363"
"579","The Partnership Of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA
"580","Tab Care And Support Limited","Tab Care And Support Limited","TAB CARE AND SUPPORT LTD","10927051"
"581","Foundations Children & Family Services Ltd","STEP UP CHILDREN AND FAMILY SERVICES LIMITED","STEP UP CHILDREN AND FAMILY SERVICES LIMITED","10658723"
"582","Options Autism (4) Ltd","Options Autism (4) Ltd","OPTIONS AUTISM (4) LIMITED","05697738"
"583","Discovered Limited","Discovered Limited","DISCOVERED LIMITED","04278702"
"584","Tees-Valley Care Limited","Tees-Valley Care Limited","TEES-VALLEY CARE LIMITED","10967724"
"585","Heathcotes Cs Ltd","Heathcotes Cs Ltd","HEATHCOTES CS LIMITED","10720031"
"586","Birmingham Children's Trust Community Interest Company","Birmingham childrens Trust Community Interest Company","BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY","10762047"
"587","Evoke Care Limited","Evoke Care Limited","EVOKE CARE GROUP LIMITED","10585966"
"588","The Mulberry Bush Organisation Ltd","The Mulberry Bush Organisation Ltd","THE MULBERRY BUSH ORGANISATION LIMITED","00538828"
"589","Invested Childcare Limited","Invested Childcare Limited","INVESTED CHILDCARE LTD","11064306"
"590","Acorn Children's Homes (Branston) Ltd","Acorn childrens Homes (Branston) Ltd","ACORN CHILDREN'S HOME (BRANSTON) LTD","10072436"
"591","All Round Care Ltd","All Round Care Ltd","ALL ROUND CARE LTD","10639802"
"592","Inspire Social Care Services Ltd","Inspire Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.","10413929"
"593","De Novo Care Ltd","De Novo Care Ltd","'DE NOVO' CARE LTD","10985049"
"594","New Roots Children's Services","New Roots childrens Services","NEW ROOTS CHILDREN'S SERVICES LIMITED","10891849"
"595","Genesis CTE Ltd","Genesis CTE Ltd","GENESIS CTE LIMITED","11287784"
"596","Blue Elephant Childcare Ltd","Blue Elephant Childcare Ltd","BLUE ELEPHANT CHILDCARE LTD","11102621"
"597","Mig House Residential Care Home Ltd","Mig House Residential Care Home Ltd","MIG HOUSE RESIDENTIAL CARE HOME LIMITED","03780971"
"598","Aspire House Ltd","Aspire House Ltd","ASPIRE HOUSE LTD","08651428"
"599","Smoothstone Care And Education Ltd","Smooth stone Care And Education Ltd","SMOOTH STONE CARE AND EDUCATION LIMITED","11031936"
"600","First Blue Healthcare Limited","First Blue Healthcare Limited","FIRST BLUE HEALTHCARE LIMITED","11013190"
"601","Lioncare Ltd Operating As The Lioncare Group","Lioncare Ltd","LIONCARE LIMITED","02595393"
"602","Milestones Care Homes Ltd","Milestones Care Homes Ltd","MILESTONES CARE HOMES LTD","05480587"
"603","Ivie Lodge Ltd","Ivie Lodge Ltd","IVIE LODGE LIMITED","10823921"
"604","St Elizabeth's Centre","St Elizabeths Centre","ST ELIZABETH'S CENTRE","11087989"
"605","Progressive Care Limited","Progressive Care Limited","PROGRESSIVE CARE LIMITED","03641345"
"606","Keys Child Care Limited","Keys Child Care Limited","KEYS CHILD CARE LIMITED","02928849"
"607","Care Afloat Ltd","Care Afloat Ltd","CARE AFLOAT LTD.","02578368"
"608","Keys Education Ltd","Keys Education Ltd","KEYS EDUCATION LIMITED","02134774"
"609","MacIntyre","MacIntyre","MACINTYRE HUDSON LLP","OC312313"
"610","Future In Mind","Future In Mind","FUTURE IN MIND LIMITED","04006881"
"611","Mr Jim Buchanan & Mrs Ivy Thompson","Mr Jim Buchanan & Mrs Ivy Thompson",NA,NA
"612","Crystal Care Solutions","Crystal Care Solutions","CRYSTAL CARE SOLUTIONS LIMITED","05952454"
"613","Full Circle Care Ltd","Full Circle Care Ltd","FULL CIRCLE CARE LTD","06610632"
"614","ERA Care Limited 5921904 ","ERA Care Limited","ERA CARE LIMITED","05921904"
"615","Able Health Care Ltd","Able Health Care Ltd","CANE & ABLE HEALTH CARE LIMITED","03735094"
"616","Teen-Works Care Ltd","Teen-Works Care Ltd","TEEN-WORKS CARE LIMITED","06889613"
"617","Adecyn Childrens Homes Ltd","Adecyn Childrens Homes Ltd","ADECYN CHILDREN'S HOME LTD","07337736"
"618","Inspirations Leicestershire Ltd","Inspirations Leicestershire Ltd","INSPIRATIONS LEICESTERSHIRE LIMITED","07765916"
"619","Continuum Support Care Services Ltd","Continuum Support Care Services Ltd","CONTINUUM SUPPORT - CARE SERVICES LTD","08517549"
"620","Back On Track Children's Services Se Ltd.","Back On Track childrens Services Se Ltd.","BACK ON TRACK CHILDREN'S SERVICES SE LTD","07457005"
"621","Steps 4 Life Care Limited","Steps 4 Life Care Limited","STEPS 4 LIFE CARE LTD","08549463"
"622","Absolute Childrens Services Ltd","Absolute Childrens Services Ltd","ABSOLUTE CHILDRENS SERVICES LTD","08888201"
"623","Kedleston (High Peak School) Limited ","Kedleston (High Peak School) Limited","KEDLESTON (HIGH PEAK SCHOOL) LIMITED","08871805"
"624","Juvenis Care Services Ltd.","ACCALIA CARE SERVICES LTD.","ACCALIA CARE SERVICES LTD","08620766"
"625","North East Specialist Therapeutic Services Cic","North East Specialist Therapeutic Services Cic","NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC","08235190"
"626","United Health Limited","United Health Limited","YCH (NO.2) PLC","02789176"
"627","Clouds Children's Care Ltd","Clouds childrens Care Ltd","CLOUDS CHILDRENS CARE LIMITED","08864886"
"628","Keys BR Limited","Keys BR Limited","KEYS BR LIMITED","03815473"
"629","Slough Children's Services Trust Limited","SLOUGH CHILDREN FIRST LIMITED","SLOUGH CHILDREN FIRST LIMITED","09487106"
"630","A & T Home Limited","A & T Home Limited","A & T HOME LIMITED","09314316"
"631","Acorn Homes (uk) Limited","Acorn Homes (uk) Limited","ACORN HOMES (UK) LIMITED","03397032"
"632","Next Stage 4 Life Ltd","Next Stage 4 Life Ltd","NEXT STAGE 4 LIFE LTD","08256389"
"633","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED","06968122"
"634","Resolute Care","Resolute Care","RESOLUTE CARE LTD","09332138"
"635","Keys KIN Ltd","Keys KIN Ltd","KEYS KIN LIMITED","09615208"
"636","Moonreach Limited","Moonreach Limited","MOONREACH LIMITED","07129730"
"637","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED","05087886"
"638","Pss Care Group Limited","Pss Care Group Limited","PSS CARE GROUP LIMITED","10405840"
"639","Beacon Childcare Limited","Beacon Childcare Limited","BEACON CHILDCARE LTD","09137138"
"640","Total Care Matters Ltd","Total Care Matters Ltd","TOTAL CARE MATTERS LTD","06334177"
"641","Birtenshaw ","Birtenshaw","BIRTENSHAW","02978546"
"642","Lytham Care Ltd","Lytham Care Ltd","LYTHAM CARE LIMITED","07744717"
"643","Happy Group (uk) Limited","Happy Group (uk) Limited","HAPPY GROUP (UK) LIMITED","09633107"
"644","Keys Educational Services Limited","Keys Educational Services Limited","KEYS EDUCATIONAL SERVICES LIMITED","03768095"
"645","Keys Direct Care Limited","Keys Direct Care Limited","KEYS DIRECT CARE LIMITED","04038630"
"646","The Place Young People's Company Limited","The Place Young Peoples Company Limited","THE PLACE YOUNG PEOPLES COMPANY LIMITED","08453467"
"647","Wessex College Limited","Wessex College Limited","WESSEX COLLEGE LIMITED","04167314"
"648","Keys Care Ltd","Keys Care Ltd","KEYS CARE LIMITED","NI053253"
"649","Phoenix Learning & Care Holdings Limited","Phoenix Learning & Care Holdings Limited","PHOENIX LEARNING & CARE HOLDINGS LIMITED","07899184"
"650","Blue Mountain Homes Limited","Blue Mountain Homes Limited","BLUE MOUNTAIN HOMES LTD.","04430975"
"651","Keys Cwc Ltd","Keys Cwc Ltd","KEYS CWC LIMITED","04535099"
"652","New Forest Care","New Forest Care","NEW FOREST CARE LIMITED","04228723"
"653","Unity Residential Care Services Limited","Unity Residential Care Services Limited","UNITY RESIDENTIAL CARE SERVICES LIMITED","07102417"
"654","Homes 2 Inspire Ltd","Homes 2 Inspire Ltd","HOMES 2 INSPIRE LIMITED","10592680"
"655","Orchard Children Homes Ltd","Orchard Children Homes Ltd","ORCHARD CHILDREN HOMES LTD","10099213"
"656","Apex Childrens Services","Apex Childrens Services","APEX CHILDRENS SERVICES LTD","10344525"
"657","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.","10413929"
"658","Care 2 Share Ltd","Care 2 Share Ltd","CARE 2 SHARE LIMITED","04431139"
"659","4PureHeart Limited","4PureHeart Limited","4PUREHEART LIMITED","10057047"
"660","Keys Nhcc Ltd","Keys Nhcc Ltd","KEYS NHCC LIMITED","03175741"
"661","Oak Childcare Plus","Oak Childcare Plus","OAK CHILDCARE PLUS LIMITED","08954737"
"662","Invested Childcare Ltd","Invested Childcare Ltd","INVESTED CHILDCARE LTD","11064306"
"663","Osei Minkah Care Ltd","Osei Minkah Care Ltd","OSEI MINKAH CARE LIMITED","05608311"
"664","United Children's Services Limited","United childrens Services Limited","UNITED CHILDREN'S SERVICES LIMITED","07678493"
"665","Keys QTC Limited","Keys QTC Limited","KEYS QTC LIMITED","03363263"
"666","Wrottesley Care Limited","Wrottesley Care Limited","WROTTESLEY CARE LIMITED","10330402"
"667","Joshs Place Limited","Joshs Place Limited","AR CURAM LIMITED","09943211"
"668","Willows Lull","Willows Lull","WILLOWS LULL","CE008719"
"669","Hazelmont Social Care Ltd","Hazelmont Social Care Ltd","HAZELMONT SOCIAL CARE LIMITED","12058943"
"670","Jigsaw Therapeutic Care Limited","Jigsaw Therapeutic Care Limited","JIGSAW THERAPEUTIC CARE LTD","10793157"
"671","Changing Lives Care Group Limited","Changing Lives Care Group Limited","CHANGING LIVES CARE GROUP LTD","10765271"
"672","Wyncare Limited","Wyncare Limited","WYNN HOMES LIMITED","03984648"
"673","1848 Ltd","1848 Ltd","CARDIAC SCIENCE HOLDINGS (UK) LIMITED","04768341"
"674","Cornerways Care Ltd","Cornerways Care Ltd","CORNERWAYS CARE LTD","09131810"
"675","Accalia Care Services Ltd","Accalia Care Services Ltd","ACCALIA CARE SERVICES LTD","08620766"
"676","Protea Care Ltd","Protea Care Ltd","PRO SUPPORT LTD","08296254"
"677","Harmony Childcare Residential Homes Ltd","Harmony Childcare Residential Homes Ltd","HARMONY CHILDCARE RESIDENTIAL HOMES LTD","10946489"
"678","A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","A&m Care Solutions Ltd -","A&M CARE SOLUTIONS LTD","11160386"
"679","Heartwood Rsc Ltd","Heartwood Rsc Ltd","HEARTWOOD RSC LTD","11190614"
"680","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD","03576741"
"681","Vitality Care Residential Limited","Vitality Care Residential Limited","VITALITY CARE RESIDENTIAL LIMITED","11066296"
"682","4 Keys Care Ltd","4 Keys Care Ltd","4 KEYS CARE LTD","11203845"
"683","Nuevavida Ne Ltd","Nuevavida Ne Ltd","NUEVAVIDA NE LTD","10786976"
"684","Brighter Futures For Children","Brighter Futures For Children","BRIGHTER FUTURES FOR CHILDREN LIMITED","11293709"
"685","St Joseph's Specialist Trust","St Josephs Specialist Trust","ST JOSEPH'S SPECIALIST TRUST","CHA1177680"
"686","Pcf Residential Childcare Ltd","Pcf Residential Childcare Ltd","PCF RESIDENTIAL CHILDCARE LTD","11182691"
"687","Solace Care Partners Limited","Solace Care Partners Limited","SOLACE CARE PARTNERS LTD","11401320"
"688","Cherished And Devoted Care","Cherished And Devoted Care","CHERISHED AND DEVOTED CARE LTD","11215353"
"689","Solace For Children","Solace For Children","SOLACE FOR CHILDREN LIMITED","10560189"
"690","Andover And District Mencap","Andover And District Mencap","PURPLE OAK SUPPORT","02962601"
"691","Leicester Young Mens Christian Association (incorporated) (the)","YMCA LEICESTERSHIRE","YMCA LEICESTERSHIRE","00159933"
"692","Abbey Green Therapeutic Children's Services Ltd","Abbey Green Therapeutic childrens Services Ltd","ABBEY GREEN THERAPEUTIC CHILDREN'S SERVICES LTD","11456695"
"693","Crystal Care Solutions Limited","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","05952454"
"694","Acorn Residential Care Ltd","Acorn Residential Care Ltd","ACORN RESIDENTIAL CARE LTD","08986318"
"695","Nml Care Ltd","Nml Care Ltd","NML CARE LIMITED","11389384"
"696","Leeward Care Ltd","Leeward Care Ltd","LEEWARD CARE LIMITED","08877171"
"697","Hand In Hand Childcare Ltd","Hand In Hand Childcare Ltd","HAND IN HAND CHILDCARE LTD","11291367"
"698","Pelican Care Group Ltd","Pelican Care Group Ltd","PELICAN CARE GROUP LTD","09596207"
"699","5ab Care Ltd","5ab Care Ltd","5AB CARE LTD","11164051"
"700","Prime Adolescence Limited","Prime Adolescence Limited","PRIME ADOLESCENCE LIMITED","11447250"
"701","Roc Family Support Ltd","ROC FAMILY TIME LIMITED","ROC FAMILY TIME LIMITED","04246122"
"702","Sbl Care Services (uk) Ltd","SBL CARESERVICES (uk) Ltd","SBL CARESERVICES (UK) LTD","11525398"
"703","Pathways Residential Child Care Larkhill House Limited","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED","11543599"
"704","Interactive Development Residential Limited","Interactive Development Residential Limited","INTERACTIVE DEVELOPMENT RESIDENTIAL LIMITED","13883472"
"705","Orbis Education And Care Limited","Orbis Education And Care Limited","ORBIS EDUCATION AND CARE LIMITED","05521347"
"706","New Futures (children) Services","New Futures (children) Services","NEW FUTURES (CHILDREN) SERVICES LTD","10192012"
"707","Investing In Children Cic","Investing In Children Cic","INVESTING IN CHILDREN CIC","08428687"
"708","Florinee Homes Ltd","Florinee Homes Ltd","FLORINEE HOMES LTD","10568214"
"709","Longboat Special Education Ltd","Longboat Special Education Ltd","LONGBOAT SPECIAL EDUCATION LTD.","10578636"
"710","Absolute Children's Care Limited","Absolute childrens Care Limited","ABSOLUTE CHILDRENS CARE LTD","11446370"
"711","Ivory Cottage Ltd","Ivory Cottage Ltd","IVORY COTTAGE LTD","11446474"
"712","Homes For Support Ltd","Homes For Support Ltd","HOMES FOR SUPPORT LTD","07169035"
"713","Jasmine Gardens Private Ltd","Jasmine Gardens Private Ltd","JASMINE GARDENS PRIVATE LTD","11678059"
"714","Above And Beyond Residential Care Ltd","Above And Beyond Residential Care Ltd","ABOVE AND BEYOND RESIDENTIAL CARE LTD","12737244"
"715","Heartwood Rsl Ltd","Heartwood Rsl Ltd","HEARTWOOD RSL LTD","11767447"
"716","Mutual Care Limited","Mutual Care Limited","MUTUAL CARE LIMITED","11057106"
"717","Fusion College Ltd","Fusion College Ltd","FUSION COLLEGE LTD","11426111"
"718","Sea Sanctuary","Sea Sanctuary","ARC HEALTHCARE SOUTHWEST","10671707"
"719","Higher Hopes Ltd","Higher Hopes Ltd","HIGHER HOPES LTD","11740223"
"720","Cascade (Banks House) Limited","Cascade (Banks House) Limited","CASCADE (BANKS HOUSE) LIMITED","10601785"
"721","Cf Support Services Limited","Cf Support Services Limited","CF SUPPORT SERVICES LIMITED","06872748"
"722","Bay View Child Care Ltd","Bay View Child Care Ltd","BAY VIEW CHILD CARE LIMITED","07149063"
"723","Brinscall Care Limited","Brinscall Care Limited","BRINSCALL CARE LIMITED","11328181"
"724","Lighthouse Southwest Ltd","Lighthouse Southwest Ltd","LIGHTHOUSE SOUTHWEST LTD","11115503"
"725","Kattz (yh) Ltd","Kattz (yh) Ltd","KATTZ (YH) LTD","11898706"
"726","Tressell Homes Ltd","Tressell Homes Ltd","TRESSELL HOMES LTD","11521178"
"727","Pure Care Homes Ltd","Pure Care Homes Ltd","PURE CARE HOMES LTD","11667392"
"728","Proactive Care","Proactive Care","PROACTIVE CARE SERVICES LIMITED","03719907"
"729","Footsteps A Path To Change 08 Ltd","Footsteps A Path To Change 08 Ltd","FOOTSTEPS A PATH TO CHANGE 08 LIMITED","07833239"
"730","Jasper Education And Support Services Limited","Jasper Education And Support Services Limited","JASPER EDUCATION AND SUPPORT SERVICES LIMITED","11739199"
"731","Octagon Care Ltd","Octagon Care Ltd","OCTAGON CARE LTD","10988764"
"732","Caretech Community Services Limited","Caretech Community Services Limited","CARETECH COMMUNITY SERVICES LIMITED","02804415"
"733","Keys Stepping Stones Limited","Keys Stepping Stones Limited","KEYS STEPPING STONES LIMITED","03749791"
"734","The Partnership of The Chartwell Group ","The Partnership of The Chartwell Group",NA,NA
"735","Overley Hall  Limited","Overley Hall Limited","OVERLEY HALL LIMITED","01558428"
"736","Ownlife Limited","Ownlife Limited","OWNLIFE LIMITED","02932099"
"737","Seashell Trust ","Seashell Trust","SEASHELL TRUST","04216714"
"738","After Care Nw Limited","After Care Nw Limited","AFTER CARE (N W) LIMITED","04256197"
"739","Keys Active 8 Care Ltd","Keys Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED","05107898"
"740","Keys ACE Limited","Keys ACE Limited","KEYS ACE LIMITED","05556312"
"741","The Vine Residential Services (tvrs) Ltd.","The Vine Residential Services (tvrs) Ltd.","THE VINE RESIDENTIAL SERVICES (TVRS) LTD","07205807"
"742","Physis Quantum","Physis Quantum","PHYSIS QUANTUM LIMITED","07710606"
"743","Oak  house Childrens Home Ltd","Oak house Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD","08521419"
"744","Serenity Specialist Care Ltd","Serenity Specialist Care Ltd","SERENITY SPECIALIST CARE LIMITED","07274714"
"745","Kattz (AH) Ltd","Kattz (AH) Ltd","KATTZ (AH) LTD","08386904"
"746","Cherish Children's Care Ltd","Cherish childrens Care Ltd","CHERISH CHILDRENS CARE LTD","07433113"
"747","Footsteps To Futures Limited","Footsteps To Futures Limited","FOOTSTEPS TO FUTURES LIMITED","08950196"
"748","The Exeter Royal Academy For Deaf Education","Exeter Royal Academy For Deaf Education","EXETER ROYAL ACADEMY FOR DEAF EDUCATION.","06585703"
"749","DMR Services Ltd","DMR Services Ltd","DMR SERVICES LIMITED","05055189"
"750","Willows(Devon)Ltd","Willows(Devon)Ltd","WILLOWS (DEVON) LIMITED","05282967"
"751","Halliwell Homes","Halliwell Homes","HALLIWELL HOMES LIMITED","03681826"
"752","Union House Nw Ltd","Union House Nw Ltd","UNION HOUSE NW LTD","11758966"
"753","Calcot Services For Children Ltd","Calcot Services For Children Ltd","CALCOT SERVICES FOR CHILDREN LIMITED","05957737"
"754","Bay View Child Care","Bay View Child Care","BAY VIEW CHILD CARE LIMITED","07149063"
"755","Thrive Childcare Services Ltd","Thrive Childcare Services Ltd","THRIVE CHILDCARE SERVICES LTD","12112878"
"756","Conquered Limited","Conquered Limited","CONQUERED LIMITED","03833987"
"757","Champion Children (fig Tree) Limited","Champion Children (fig Tree) Limited","CHAMPION CHILDREN (FIG TREE) LIMITED","12558186"
"758","The National Centre For Young People With Epilepsy","The National Centre For Young People With Epilepsy","THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST","CHA311877"
"759","Strive To Care LTD","Strive To Care LTD","STRIVE TO CARE LTD","12377099"
"760","Nugent Care 2019","Nugent Care 2019","NUGENT CARE 2019","12227571"
"761","Zone Central Ltd","Zone Central Ltd","ZONE CENTRAL LTD","12438247"
"762","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","03431532"
"763","Carlar Care Limited","Carlar Care Limited","CARLAR CARE LIMITED","12210316"
"764","Sunrise Hill Care Ltd.","Sunrise Hill Care Ltd.","SUNRISE HILL CARE LTD","12434401"
"765","Stepping Stones Childrens Homes Limited","Stepping Stones Childrens Homes Limited","STEPPING STONES CHILDRENS HOMES LIMITED","09977747"
"766","Solace Care 7kings Ltd","Solace Care 7kings Ltd","SOLACE CARE 7KINGS LTD","12459993"
"767","Young Foundations Ltd","Young Foundations Ltd","YOUNG FOUNDATIONS LIMITED","05029887"
"768","Horizon Care and Education Group Limited","Horizon Care and Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED","06454959"
"769","Smooth Stone Care & Education Ltd","Smooth Stone Care & Education Ltd","SMOOTH STONE CARE AND EDUCATION LIMITED","11031936"
"770","Inspire Care (UK) Limited","Inspire Care (UK) Limited","INSPIRE CARE (UK) LIMITED","07125228"
"771","Together for Children Sunderland Limited","Together for Children Sunderland Limited","TOGETHER FOR CHILDREN SUNDERLAND LIMITED","10085290"
"772","ROC Northwest","ROC Northwest","ROC NORTHWEST LIMITED","05564417"
"773","Pebbles Care Limited","Pebbles Care Limited","PEBBLES CARE LIMITED","04854937"
"774","Child First Ltd","Child First Ltd","CHILD FIRST LIMITED","04018123"
"775","Gracewells Care Limited","Gracewells Care Limited","GRACEWELLS CARE LIMITED","09732662"
"776","Hopscotch Care Ltd","Hopscotch Care Ltd","HOPSCOTCH CARE LIMITED","07373908"
"777","Hillcrest Children's Services (2) Limited","Hillcrest childrens Services (2) Limited","HILLCREST CHILDRENS SERVICES (2) LIMITED","06924418"
"778","Bright Futures Care Limited","Bright Futures Care Limited","BRIGHT FUTURES CARE LIMITED","08157115"
"779","Keys QTC","Keys QTC","KEYS QTC LIMITED","03363263"
"780","Apex Childrens Services Ltd","Apex Childrens Services Ltd","APEX CHILDRENS SERVICES LTD","10344525"
"781","Budwood Limited","Budwood Limited","BUDWOOD LIMITED","11195359"
"782","Stepping Stones Care (Midlands) Limited","Stepping Stones Care (Midlands) Limited","STEPPING STONES CARE (MIDLANDS) LIMITED","12608453"
"783","Inspirations Care Limited","Inspirations Care Limited","INSPIRATION CARE LIMITED","06287676"
"784","Monach Intervention Services Limited","Monarch Intervention Services Limited","MONARCH INTERVENTION SERVICES LIMITED","10014318"
