"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"1","Local Authority","SC059853",6,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"2","Voluntary","SC008596",8,"STOCKPORT",NA,NA,NA,NA,"2016-07-13",NA
"3","Local Authority","SC040982",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"4","Private","SC480161",6,"TAMESIDE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-10",NA,"08885676"
"5","Local Authority","SC051856",4,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"6","Private","SC062263",1,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"7","Local Authority","SC034108",6,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"8","Local Authority","SC040719",3,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"9","Local Authority","SC369857",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"10","Local Authority","SC041018",6,"WIGAN",NA,NA,NA,NA,"2016-07-31",NA
"11","Private","SC387148",5,"TRAFFORD","Fairfield Residential Ltd","Fairfield Residential Ltd","FAIRFIELD RESIDENTIAL LIMITED",NA,NA,"06677877"
"12","Voluntary","SC025739",4,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"13","Private","SC067238",5,"STOCKPORT",NA,NA,NA,NA,"2017-06-30",NA
"14","Local Authority","SC059842",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"15","Local Authority","SC032475",5,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"16","Local Authority","SC040266",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"17","Private","SC456857",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"18","Private","SC479654",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-05",NA,"08885676"
"19","Private","SC356864",2,"BURY","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"20","Private","SC389823",5,"BOLTON","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"21","Private","SC021677",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"22","Local Authority","SC040926",6,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"23","Private","SC389649",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2020-12-20","04280519"
"24","Private","SC411825",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED",NA,NA,"06968122"
"25","Private","SC008488",8,"STOCKPORT","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"26","Local Authority","SC066549",2,"TRAFFORD",NA,NA,NA,NA,"2016-04-30",NA
"27","Local Authority","SC360599",4,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2022-09-22",NA
"28","Private","SC451174",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"29","Private","SC005751",1,"WIGAN","Doncaster Deaf Trust","Doncaster Deaf Trust","DONCASTER DEAF TRUST",NA,NA,"04105045"
"30","Private","SC035657",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"31","Voluntary","SC025714",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"32","Local Authority","SC035492",5,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"33","Private","SC394463",3,"STOCKPORT","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED",NA,NA,"06681557"
"34","Private","SC387672",5,"MANCHESTER",NA,NA,NA,NA,"2016-11-30",NA
"35","Private","SC357455",4,"BLACKBURN WITH DARWEN","Woodside House Care Ltd","Woodside House Care Ltd","WOODSIDE HOUSE CARE LTD",NA,NA,"04960062"
"36","Private","SC477939",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED","2014-06-03",NA,"05087886"
"37","Private","SC008487",6,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"38","Private","SC446325",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"39","Private","SC021683",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"40","Voluntary","SC035518",28,"STOCKPORT","Sea Shell Trust Limited","Sea Shell Trust Limited","SEASHELL TRUST",NA,NA,"04216714"
"41","Private","SC061928",8,"MANCHESTER",NA,NA,NA,NA,"2016-03-21",NA
"42","Private","SC479647",6,"WIGAN","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-10-08",NA,"08885676"
"43","Private","SC456542",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"44","Private","SC043972",5,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"45","Private","SC066072",3,"OLDHAM","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"46","Private","SC456532",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"47","Private","SC400355",3,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"48","Private","SC430239",5,"TAMESIDE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"49","Private","SC420388",4,"BURY","Alliance Care & Education Limited","Alliance Care & Education Limited","KEYS ACE LIMITED",NA,NA,"05556312"
"50","Private","SC396104",6,"TAMESIDE","Full Circle Care","Full Circle Care","FULL CIRCLE CARE LTD",NA,NA,"06610632"
"51","Voluntary","SC025740",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"52","Private","SC411030",3,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"53","Voluntary","SC025715",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"54","Private","SC477726",2,"WIGAN","Crystal Care Solutions Limited Company Number 05952454","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED","2014-07-18",NA,"05952454"
"55","Private","SC005553",7,"OLDHAM","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED",NA,NA,"03612944"
"56","Local Authority","SC372511",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"57","Private","SC043697",7,"TAMESIDE","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"58","Local Authority","SC357979",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"59","Private","SC456418",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"60","Private","SC413779",2,"ROCHDALE","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD",NA,NA,"06984654"
"61","Voluntary","SC025712",2,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"62","Private","SC063197",1,"ROCHDALE",NA,NA,NA,NA,"2017-05-18",NA
"63","Local Authority","SC032496",6,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"64","Private","SC357159",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-03-05","03946050"
"65","Private","SC443658",7,"BURY",NA,NA,NA,NA,"2016-02-14",NA
"66","Private","SC066560",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"67","Private","SC065189",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"68","Local Authority","SC064515",4,"OLDHAM",NA,NA,NA,NA,"2016-03-31",NA
"69","Private","SC456419",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"70","Private","SC067899",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"71","Local Authority","SC035339",6,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"72","Local Authority","SC034012",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"73","Private","SC366343",4,"TAMESIDE","Maple Leaf Care Limited","Maple Leaf Care Limited","MAPLE LEAF CARE LIMITED",NA,NA,"05951541"
"74","Private","SC456850",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"75","Private","SC356817",4,"OLDHAM","Lifetime Opportunities Ltd","Lifetime Opportunities Ltd","LIFETIME OPPORTUNITIES LTD",NA,NA,"05040885"
"76","Private","SC062309",6,"TAMESIDE","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"77","Private","SC457506",2,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-08-06","04280519"
"78","Local Authority","SC063683",6,"MANCHESTER","Manchester City Council","Manchester City Council",NA,NA,NA,NA
"79","Voluntary","SC025713",2,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"80","Private","SC063054",1,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,"2018-05-30","05087886"
"81","Private","SC068277",6,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-07-10","04280519"
"82","Local Authority","SC039070",5,"STOCKPORT","Stockport Council","Stockport Council",NA,NA,NA,NA
"83","Private","SC456416",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"84","Voluntary","SC057718",5,"BOLTON","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"85","Private","SC456409",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"86","Private","SC378407",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"87","Private","SC005589",2,"TAMESIDE","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"88","Private","SC372117",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"89","Private","SC467268",5,"BLACKBURN WITH DARWEN","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"90","Private","SC442864",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"91","Private","SC390577",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"92","Private","SC008484",6,"STOCKPORT","","",NA,NA,NA,NA
"93","Private","SC062475",1,"ROCHDALE",NA,NA,NA,NA,"2016-08-23",NA
"94","Voluntary","SC397344",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"95","Private","SC416464",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"96","Private","SC361811",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"97","Voluntary","SC373044",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"98","Private","SC456539",1,"BOLTON","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"99","Private","SC064428",4,"WIGAN","Active 8 Care Ltd","Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED",NA,NA,"05107898"
"100","Private","SC065617",1,"ROCHDALE",NA,NA,NA,NA,"2017-05-15",NA
"101","Private","SC064836",2,"ROCHDALE","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"102","Private","SC008607",2,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"103","Private","SC381722",2,"BURY","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"104","Private","SC456405",2,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2018-08-01","04280519"
"105","Voluntary","SC025747",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"106","Private","SC420066",8,"TRAFFORD",NA,NA,NA,NA,"2017-11-30",NA
"107","Private","SC064666",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"108","Private","SC398367",4,"WIGAN","Cherry Cottage Limited","Cherry Cottage Limited","CHERRY COTTAGE LIMITED",NA,"2020-04-23","05864035"
"109","Private","SC008490",4,"STOCKPORT","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"110","Local Authority","SC067052",4,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,"2021-08-09",NA
"111","Private","SC382807",2,"ROCHDALE",NA,NA,NA,NA,"2017-06-14",NA
"112","Private","SC416267",2,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"113","Local Authority","SC034922",4,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,NA,NA,NA
"114","Private","SC472680",5,"MANCHESTER","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"115","Private","SC357133",3,"STOCKPORT","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,NA,"04460745"
"116","Private","SC067261",4,"BLACKBURN WITH DARWEN",NA,NA,NA,NA,"2015-06-01",NA
"117","Local Authority","SC040723",4,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"118","Private","SC473473",3,"ROCHDALE","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD",NA,NA,"07252721"
"119","Private","SC021679",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"120","Private","SC469411",4,"BURY",NA,NA,NA,NA,"2017-10-27",NA
"121","Private","SC008486",6,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"122","Local Authority","SC034825",5,"ROCHDALE",NA,NA,NA,NA,"2016-05-01",NA
"123","Private","SC429189",5,"MANCHESTER","R Place Limited","R Place Limited","R PLACE LIMITED",NA,"2020-07-29","07496321"
"124","Private","SC008600",6,"STOCKPORT","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"125","Private","SC394478",3,"STOCKPORT","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED",NA,NA,"06681557"
"126","Private","SC069198",3,"BURY","Meadows Care Ltd","Meadows Care Ltd","MEADOWS CARE LIMITED",NA,NA,"05087886"
"127","Private","SC407169",4,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"128","Local Authority","SC042037",5,"MANCHESTER",NA,NA,NA,NA,"2017-03-08",NA
"129","Private","SC456413",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"130","Voluntary","SC470797",4,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"131","Private","SC426684",3,"MANCHESTER",NA,NA,NA,NA,"2016-06-30",NA
"132","Private","SC064530",2,"OLDHAM","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"133","Private","SC069176",4,"TAMESIDE","Oakfields Children's Care Limited","Oakfields childrens Care Limited","OAKFIELDS CHILDREN'S CARE LIMITED",NA,NA,"05425280"
"134","Private","SC369144",6,"TAMESIDE","Progressive Care Ltd","Progressive Care Ltd","PROGRESSIVE CARE LIMITED",NA,"2018-07-31","03641345"
"135","Local Authority","SC032772",5,"TAMESIDE",NA,NA,NA,NA,"2017-12-06",NA
"136","Private","SC433290",6,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2021-03-31","04280519"
"137","Voluntary","SC008575",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"138","Private","SC357468",1,"ROCHDALE","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"139","Private","SC386837",2,"STOCKPORT","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD",NA,NA,"03431532"
"140","Private","SC068223",3,"WIGAN",NA,NA,NA,NA,"2018-01-15",NA
"141","Local Authority","SC033539",6,"MANCHESTER",NA,NA,NA,NA,"2016-10-28",NA
"142","Private","SC068658",6,"BURY",NA,NA,NA,NA,"2016-03-14",NA
"143","Local Authority","SC031015",6,"MANCHESTER",NA,NA,NA,NA,"2016-11-30",NA
"144","Private","SC065072",2,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"145","Private","SC413156",2,"ROCHDALE",NA,NA,NA,NA,"2016-09-13",NA
"146","Private","SC065374",5,"STOCKPORT","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD",NA,NA,"03762420"
"147","Local Authority","SC034851",5,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,NA,NA,NA
"148","Local Authority","SC402508",5,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2020-01-22",NA
"149","Private","SC456543",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"150","Local Authority","SC387671",6,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"151","Private","SC381339",6,"MANCHESTER","Social Care Services (clayton) Limited","Social Care Services (clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED",NA,"2022-06-11","04460745"
"152","Private","SC439116",2,"TRAFFORD","Aspireone Care Ltd","Aspireone Care Ltd","ASPIREONE CARE LIMITED",NA,NA,"07483842"
"153","Local Authority","SC040437",6,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"154","Private","SC005567",4,"TAMESIDE","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"155","Voluntary","SC451266",4,"BOLTON",NA,NA,NA,NA,"2016-03-18",NA
"156","Private","SC008435",4,"BURY","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"157","Private","SC436559",5,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"158","Private","SC046621",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"159","Private","SC008485",6,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"160","Private","SC403464",2,"ROCHDALE","Aspire Child Care Ltd","Aspire Child Care Ltd","ASPIRE CHILD CARE LTD",NA,NA,"06984654"
"161","Local Authority","SC032531",1,"ROCHDALE",NA,NA,NA,NA,"2016-02-01",NA
"162","Private","SC021684",6,"MANCHESTER","Social Care Services Limited","Social Care Services Limited","SOCIAL CARE SERVICES LIMITED",NA,NA,"02428089"
"163","Voluntary","SC025744",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"164","Voluntary","SC467796",3,"BOLTON","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW",NA,NA,"02978546"
"165","Private","SC008608",2,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"166","Voluntary","SC009390",4,"BOLTON",NA,NA,NA,NA,"2015-11-01",NA
"167","Voluntary","SC025745",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"168","Voluntary","SC044026",5,"TAMESIDE",NA,NA,NA,NA,"2015-06-01",NA
"169","Private","SC049189",3,"ROCHDALE","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"170","Private","SC008608",2,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"171","Private","SC021684",6,"MANCHESTER","Social Care Services Limited","Social Care Services Limited","SOCIAL CARE SERVICES LIMITED",NA,NA,"02428089"
"172","Voluntary","SC025740",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"173","Local Authority","SC032772",5,"TAMESIDE",NA,NA,NA,NA,"2017-12-06",NA
"174","Private","SC005553",7,"OLDHAM","Dalepeak Limited","Dalepeak Limited","DALEPEAK LIMITED",NA,NA,"03612944"
"175","Private","SC008488",8,"STOCKPORT","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"176","Private","SC021677",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"177","Voluntary","SC025739",4,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"178","Local Authority","SC032496",6,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"179","Private","SC005567",4,"TAMESIDE","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"180","Private","SC008485",6,"STOCKPORT","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED",NA,NA,"04211653"
"181","Voluntary","SC025712",2,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"182","Voluntary","SC025714",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"183","Voluntary","SC025715",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"184","Voluntary","SC025747",3,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"185","Local Authority","SC034012",3,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"186","Local Authority","SC034851",5,"ROCHDALE","Rochdale Metropolitan Borough Council","Rochdale Metropolitan Borough Council",NA,NA,NA,NA
"187","Local Authority","SC040723",4,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"188","Local Authority","SC059853",6,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"189","Private","SC062263",1,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"190","Private","SC357159",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-03-05","03946050"
"191","Private","1155775",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","2015-09-24",NA,"04280519"
"192","Private","SC008487",6,"STOCKPORT","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"193","Private","SC008490",4,"STOCKPORT","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD",NA,NA,"15399498"
"194","Voluntary","SC008596",8,"STOCKPORT",NA,NA,NA,NA,"2016-07-13",NA
"195","Voluntary","SC025745",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"196","Private","SC049189",3,"ROCHDALE","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"197","Private","SC064666",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"198","Private","SC008435",4,"BURY","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"199","Voluntary","SC025744",6,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"200","Local Authority","SC041018",6,"WIGAN",NA,NA,NA,NA,"2016-07-31",NA
