"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"416","Voluntary","SC035518",28,"STOCKPORT","Sea Shell Trust Limited","Sea Shell Trust Limited","SEASHELL TRUST",NA,NA,"04216714"
"417","Private","SC035657",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"418","Local Authority","SC039070",5,"STOCKPORT","Stockport Council","Stockport Council",NA,NA,NA,NA
"419","Local Authority","SC040266",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"420","Local Authority","SC040437",6,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,NA,NA
"421","Local Authority","SC040719",3,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"422","Local Authority","SC040723",4,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"423","Local Authority","SC040926",6,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"424","Local Authority","SC040982",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"425","Private","SC043697",7,"TAMESIDE","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"426","Private","SC043972",5,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"427","Private","SC046621",2,"ROCHDALE","Pathfinders (childcare) Ltd","Pathfinders (childcare) Ltd","PATHFINDERS (CHILDCARE) LIMITED",NA,"2020-02-26","03946050"
"428","Private","SC049189",3,"ROCHDALE","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"429","Local Authority","SC051856",4,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"430","Voluntary","SC057718",5,"BOLTON","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"431","Local Authority","SC059842",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
