"","URN","chain_size"
"1273","2594539",225
"1274","2596897",5
"1275","2596906",1
"1276","2597738",10
"1277","2598648",4
"1278","SC484830",4
"1279","2664249",1
"1280","2666161",41
"1281","2667592",34
"1282","SC055153",9
"1283","SC056259",21
"1284","SC057718",12
"1285","SC058603",1
"1286","SC059717",12
"1287","SC417031",10
"1288","SC457182",225
"1289","1249183",60
"1290","2538055",12
"1291","2539305",10
"1292","2541449",2
"1293","2563164",5
"1294","2567806",3
"1295","2568010",131
"1296","2613829",4
"1297","SC488930",5
"1298","SC490365",1
"1299","1183136",8
"1300","1183173",2
"1301","1271587",225
"1302","1256658",5
"1303","1257182",2
"1304","SC032083",127
"1305","SC032600",2
"1306","SC033120",1
"1307","SC065072",18
"1308","SC386522",131
"1309","SC388991",225
"1310","SC457308",225
"1311","SC457327",225
"1312","1277158",3
"1313","1277453",4
"1314","1277479",3
"1315","1278017",127
"1316","2484055",5
"1317","2484180",131
"1318","SC036732",7
"1319","SC033367",6
"1320","SC033642",9
"1321","SC033817",7
"1322","SC033840",7
"1323","SC062536",17
"1324","SC062674",131
"1325","2560305",3
"1326","2560648",14
"1327","2562678",2
"1328","2564415",127
"1329","2565542",1
"1330","2567557",7
"1331","2538285",1
"1332","2540927",58
"1333","2541033",3
"1334","1223681",127
"1335","1225887",5
"1336","1226266",131
"1337","2646001",41
"1338","2646995",9
"1339","2647153",7
"1340","2648208",58
"1341","SC039673",22
"1342","SC039689",22
"1343","1258831",4
"1344","1259734",17
"1345","1263129",41
"1346","1263571",4
"1347","1263766",6
"1348","1263773",10
"1349","1264048",1
"1350","1264537",225
"1351","1264840",58
"1352","SC044692",7
"1353","SC044745",34
"1354","SC044880",2
"1355","SC397092",131
"1356","SC398377",16
"1357","SC068206",6
"1358","2570084",2
"1359","2572552",6
"1360","2662095",2
"1361","2662427",4
"1362","2664175",1
"1363","2665860",1
"1364","2671361",4
"1365","SC034480",10
"1366","SC034797",10
"1367","SC035049",21
"1368","SC035137",14
"1369","SC035459",22
"1370","1250194",10
"1371","SC061837",3
"1372","SC424103",19
"1373","SC424141",225
"1374","SC425418",58
"1375","SC429918",3
"1376","SC431228",5
"1377","2620359",2
"1378","SC458812",12
"1379","SC462450",1
"1380","SC466284",7
"1381","SC467796",9
"1382","SC470413",14
"1383","SC031490",7
"1384","SC031504",10
"1385","2652976",5
"1386","2655174",2
"1387","2655761",36
"1388","SC008600",5
"1389","SC011972",13
"1390","SC013743",19
"1391","SC059203",6
"1392","SC033723",12
"1393","SC033805",3
"1394","SC034189",7
"1395","SC034686",14
"1396","SC034706",17
"1397","2667615",2
"1398","2671339",4
"1399","2672782",1
"1400","2673338",1
"1401","2673339",34
"1402","SC020606",131
"1403","SC020607",131
"1404","SC454900",2
"1405","SC456532",225
"1406","SC456795",225
"1407","SC456846",225
"1408","SC457181",225
"1409","SC457430",225
"1410","SC457435",225
"1411","2586951",60
"1412","2682205",4
