Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Voluntary,1233310,3,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,2016-08-08,NA,02978546
Private,1256134,4,OLDHAM,ROC Northwest,ROC Northwest,ROC NORTHWEST LIMITED,2017-06-07,NA,05564417
Private,1280371,2,OLDHAM,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,2018-07-16,NA,05033530
Private,SC356864,2,BURY,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,2581296,1,ROCHDALE,Sandcastle Care Ltd,Sandcastle Care Ltd,SANDCASTLE CARE LTD,2020-03-04,NA,04922373
Private,2586951,3,SALFORD,Horizon Care and Education Group Limited,Horizon Care and Education Group Limited,HORIZON CARE AND EDUCATION GROUP LIMITED,2020-05-01,NA,06454959
Voluntary,2590128,4,STOCKPORT,Seashell Trust,Seashell Trust,SEASHELL TRUST,2020-05-22,NA,04216714
Private,2591400,3,OLDHAM,Oasis Adolescent Services Limited,Oasis Adolescent Services Limited,OASIS ADOLESCENT SERVICES LIMITED,2020-05-06,NA,10606038
Private,2625182,2,MANCHESTER,Care Today (Childrens Services) Ltd,Care Today (Childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2021-03-03,NA,03576741
Private,2623004,1,BOLTON,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2021-03-01,NA,04280519
Private,2615395,2,MANCHESTER,Care Today (Childrens Services) Ltd,Care Today (Childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD,2020-11-26,NA,03576741
Private,2541033,5,TRAFFORD,Pure Care Homes ltd,Pure Care Homes ltd,PURE CARE HOMES LTD,2019-09-05,NA,11667392
Private,2597738,1,WIGAN,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-06-30,NA,04460745
Private,2606062,3,MANCHESTER,Paramount Children's Services Ltd,Paramount childrens Services Ltd,PARAMOUNT CHILDREN'S SERVICES LTD,2021-01-11,NA,12015758
Private,2571031,2,MANCHESTER,Onextra Care Ltd,Onextra Care Ltd,ONEXTRA CARE LTD,2020-05-27,NA,11855426
Private,SC064530,2,OLDHAM,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC357468,1,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Local Authority,1263766,4,TAMESIDE,Tameside Metropolitan Borough Council ,Tameside Metropolitan Borough Council,NA,2017-10-23,NA,NA
Private,1159258,4,MANCHESTER,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2015-10-14,NA,04280519
Private,SC400355,3,STOCKPORT,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Voluntary,SC025713,3,STOCKPORT,The Together Trust,The Together Trust,THE TOGETHER TRUST,NA,NA,00301722
Private,2509452,3,WIGAN,Horizon Care and Education Group Limited,Horizon Care and Education Group Limited,HORIZON CARE AND EDUCATION GROUP LIMITED,2019-03-11,NA,06454959
Private,2525774,4,OLDHAM,Stepping Stones Childrens Homes Limited,Stepping Stones Childrens Homes Limited,STEPPING STONES CHILDRENS HOMES LIMITED,2019-05-28,NA,09977747
Private,1261138,5,BURY,New Horizons-(stockport) Ltd,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,2017-08-29,NA,03431532
Private,SC412687,3,SALFORD,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
